GM에드온[3.3.5a 아제로스코어] v2.8 GM 커맨드 재검증 목록

사용자 제공 command SQL: 740개
애드온 command 버튼: 188개
명령명 미매칭: 0개
보안 레벨 분포: Lv0=8, Lv1=27, Lv2=111, Lv3=39, Lv4=3

형식: [카테고리] 버튼명 | 실행문 | SQL 매칭명 | Security | 공식 도움말
[기타] 쿨다운 치트 켜기 | .cheat cooldown on | cheat cooldown | 2 | Syntax: .cheat cooldown [on/off] Disable spells' cooldowns.
[기타] 쿨다운 치트 끄기 | .cheat cooldown off | cheat cooldown | 2 | Syntax: .cheat cooldown [on/off] Disable spells' cooldowns.
[서버] 서버 정보 | .server info | server info | 0 | Syntax: .server info Display server version and the number of connected players.
[서버] 서버 MOTD | .server motd | server motd | 0 | Syntax: .server motd Show server Message of the day.
[서버] MOTD 설정 | .server set motd {args} | server set motd | 3 | Syntax: .server set motd Optional($realmId) Optional($locale) $MOTD Set server Message of the day for the specified $realmId. If $realmId is not provided it will update for the current realm. Use $realmId -1 to set motd 
[서버] 전체 공지 | .announce {args} | announce | 2 | Syntax: .announce $MessageToBroadcast Send a global message to all players online in chat log.
[서버] 화면 알림 | .notify {args} | notify | 2 | Syntax: .notify $MessageToBroadcast Send a global message to all players online in screen.
[서버] GM 공지 | .gmannounce {args} | gmannounce | 2 | Syntax: .gmannounce $announcement Send an announcement to online Gamemasters.
[서버] GM 화면 알림 | .gmnotify {args} | gmnotify | 2 | Syntax: .gmnotify $notification Displays a notification on the screen of all online GM's.
[서버] 스크립트 전체 리로드 | .reload all scripts | reload all scripts | 3 | Syntax: .reload all scripts Reload gameobject_scripts, event_scripts, quest_end_scripts, quest_start_scripts, spell_scripts, db_script_string, waypoint_scripts tables.
[서버] Locale 전체 리로드 | .reload all locales | reload all locales | 3 | Syntax: .reload all locales Reload all `locales_*` tables with reload support added and that can be _safe_ reloaded.
[서버] 게임텔레 리로드 | .reload game_tele | reload game_tele | 3 | Syntax: .reload game_tele Reload game_tele table.
[서버] Config 리로드 | .reload config | reload config | 3 | Syntax: .reload config Reload config settings (by default stored in worldserver.conf). Not all settings can be change at reload: some new setting values will be ignored until restart, some values will applied with delay 
[서버] 서버 재시작 10초 | .server restart 10 | server restart | 3 | Syntax: .server restart #delay Restart the server after #delay. Use #exist_code or 2 as program exist code. #delay: use a timestring like "1h15m30s".
[서버] 재시작/종료 취소 | .server restart cancel | server restart cancel | 3 | Syntax: .server restart cancel Cancel the restart/shutdown timer if any.
[서버] 서버 종료 10초 | .server shutdown 10 | server shutdown | 3 | Syntax: .server shutdown #delay [#exit_code] Shut the server down after #delay. Use #exit_code or 0 as program exit code. #delay: use a timestring like "1h15m30s".
[서버] 날씨 변경 | .wchange {args} | wchange | 3 | Syntax: .wchange #weathertype #grade Set current weather to #weathertype with an intensity of #grade. #weathertype can be 0 for fine, 1 for rain, 2 for snow, 3 for storm, 86 for thunders, 90 for blackrain. #grade is a fl
[서버] 전체 저장 | .saveall | saveall | 2 | Syntax: .saveall Save all characters in game.
[서버] 오래된 시체 정리 | .server corpses | server corpses | 2 | Syntax: .server corpses Triggering corpses expire check in world.
